lap,t_in_lap,tyre_age,battery_soc_pct,deploy_kw,energy_used_lap_mj,speed_kph,gap_sec,closing_speed_kph,drs_available,mode_ground_truth,overtake_attempted,overtake_success
1,0.0189,1,99.79,-15.7,0.078,203.8,0.418,9.57,True,Harvest,True,False
1,0.0194,1,99.79,23.52,0.079,212.2,0.518,14.08,True,Balance,True,True
1,0.02,1,99.77,95.45,0.084,227.4,0.05,1.22,True,Push,True,True
1,0.0206,1,99.77,18.63,0.084,211.6,0.05,13.71,True,Balance,True,True
1,0.0211,1,99.76,39.04,0.086,216.1,0.234,-0.29,True,Balance,False,False
1,0.0217,1,99.74,117.76,0.092,232.7,0.714,11.82,True,Push,True,True
1,0.0222,1,99.73,92.95,0.097,227.7,0.648,8.02,True,Push,True,False
1,0.0228,1,99.71,105.47,0.102,230.5,0.074,18.21,True,Push,True,True
1,0.0233,1,99.69,88.45,0.107,227.2,0.406,-5.36,True,Push,False,False
1,0.0239,1,99.68,98.11,0.112,229.4,0.282,4.16,True,Push,True,False
1,0.0244,1,99.67,36.35,0.113,216.8,0.617,5.56,True,Balance,True,False
1,0.025,1,99.66,35.73,0.115,216.8,1.703,1.92,False,Balance,False,False
1,0.0256,1,99.65,71.75,0.119,224.5,0.064,1.11,True,Push,True,True
1,0.0261,1,99.66,-39.3,0.119,201.6,0.716,6.66,True,Harvest,True,False
1,0.0267,1,99.66,-17.95,0.119,206.3,0.833,-9.3,True,Harvest,False,False
1,0.0272,1,99.65,47.23,0.121,220.1,0.834,-4.76,True,Balance,False,False
1,0.0278,1,99.65,46.1,0.123,220.0,0.231,3.09,True,Balance,True,True
1,0.0283,1,99.65,-37.26,0.123,202.9,0.511,11.83,True,Harvest,True,False
1,0.0289,1,99.64,100.35,0.128,231.7,0.941,-0.59,True,Push,False,False
1,0.0294,1,99.63,45.51,0.131,220.5,0.093,4.93,True,Balance,True,False
1,0.03,1,99.63,13.36,0.131,214.0,1.035,1.23,False,Balance,False,False
1,0.0306,1,99.61,82.24,0.135,228.6,1.765,6.86,False,Push,False,False
1,0.0311,1,99.59,113.31,0.141,235.3,0.49,11.86,True,Overtake,True,True
1,0.0317,1,99.58,63.38,0.144,225.1,0.075,3.72,True,Push,True,False
1,0.0322,1,99.57,48.49,0.147,222.2,1.218,6.79,False,Balance,False,False
1,0.0328,1,99.56,91.39,0.151,231.3,0.714,5.1,True,Push,True,True
1,0.0333,1,99.55,46.05,0.154,222.1,1.802,4.11,False,Balance,False,False
1,0.0339,1,99.55,17.52,0.154,216.3,0.526,12.81,True,Balance,True,True
1,0.0344,1,99.53,99.29,0.159,233.6,1.009,-2.19,False,Overtake,False,False
1,0.035,1,99.54,-15.32,0.159,209.9,0.325,8.94,True,Harvest,True,False
1,0.0356,1,99.54,-38.64,0.159,205.2,2.619,0.89,False,Harvest,False,False
1,0.0361,1,99.52,110.3,0.165,236.5,0.322,-3.78,True,Push,False,False
1,0.0367,1,99.51,108.77,0.17,236.4,3.417,4.55,False,Push,False,False
1,0.0372,1,99.51,-14.51,0.17,210.9,1.848,7.5,False,Harvest,False,False
1,0.0378,1,99.5,36.87,0.172,221.8,0.072,6.94,True,Balance,True,False
1,0.0383,1,99.5,32.08,0.174,221.0,0.31,21.38,True,Balance,True,True
1,0.0389,1,99.48,102.24,0.179,235.8,0.088,-8.85,True,Push,False,False
1,0.0394,1,99.46,90.84,0.183,233.6,0.303,16.55,True,Push,True,False
1,0.04,1,99.47,-11.51,0.183,212.5,0.179,8.07,True,Harvest,True,True
1,0.0406,1,99.45,64.55,0.187,228.6,0.082,4.74,True,Push,True,True
1,0.0411,1,99.44,80.74,0.191,232.1,0.385,-2.89,True,Push,False,False
1,0.0417,1,99.43,76.72,0.195,231.5,0.056,9.03,True,Push,True,True
1,0.0422,1,99.41,90.21,0.199,234.5,0.05,9.12,True,Push,True,True
1,0.0428,1,99.42,-12.37,0.199,213.4,0.828,14.64,True,Harvest,True,True
1,0.0433,1,99.4,97.1,0.204,236.4,0.373,11.81,True,Push,True,False
1,0.0439,1,99.4,14.29,0.205,219.3,0.167,-2.9,True,Balance,False,False
1,0.0444,1,99.38,79.32,0.209,233.1,0.238,18.5,True,Push,True,False
1,0.045,1,99.37,95.21,0.213,236.6,0.339,12.05,True,Push,True,True
1,0.0456,1,99.35,94.25,0.218,236.6,2.584,-4.2,False,Push,False,False
1,0.0461,1,99.34,69.64,0.222,231.6,0.201,9.5,True,Push,True,True
1,0.0467,1,99.35,-37.59,0.222,209.5,0.071,8.12,True,Harvest,True,False
1,0.0472,1,99.35,-32.26,0.222,210.8,0.488,4.32,True,Harvest,True,False
1,0.0478,1,99.34,79.42,0.226,234.3,0.425,1.33,True,Push,True,False
1,0.0483,1,99.32,88.87,0.23,236.5,0.05,2.55,True,Push,True,True
1,0.0489,1,99.31,79.34,0.234,234.7,0.176,13.85,True,Push,True,False
1,0.0494,1,99.29,115.77,0.24,242.5,2.012,2.31,False,Push,False,False
1,0.05,1,99.28,70.87,0.243,233.3,0.811,14.34,True,Push,True,True
1,0.0506,1,99.28,16.55,0.244,222.2,0.657,7.04,True,Balance,True,True
1,0.0511,1,99.26,109.0,0.25,241.6,0.284,-9.97,True,Push,False,False
1,0.0517,1,99.26,19.29,0.251,223.2,0.471,2.19,True,Balance,True,False
1,0.0522,1,99.25,47.59,0.253,229.3,0.09,9.08,True,Balance,True,True
1,0.0528,1,99.25,-16.34,0.253,216.1,0.817,14.98,True,Harvest,True,True
1,0.0533,1,99.24,45.07,0.255,229.1,0.07,15.3,True,Balance,True,True
1,0.0539,1,99.23,98.47,0.26,240.4,0.469,1.44,True,Push,True,True
1,0.0544,1,99.21,95.0,0.265,239.9,0.372,6.44,True,Push,True,False
1,0.055,1,99.2,93.91,0.27,239.9,1.534,26.15,False,Push,False,False
1,0.0556,1,99.19,33.05,0.271,227.4,0.8,-2.92,True,Balance,False,False
1,0.0561,1,99.17,116.1,0.277,244.9,0.439,3.99,True,Overtake,True,False
1,0.0567,1,99.15,108.17,0.282,243.4,0.243,11.82,True,Push,True,False
1,0.0572,1,99.14,87.13,0.287,239.3,0.361,-13.57,True,Push,False,False
1,0.0578,1,99.12,85.14,0.291,239.0,0.27,19.79,True,Push,True,True
1,0.0583,1,99.12,48.44,0.293,231.6,0.054,14.01,True,Balance,True,False
1,0.0589,1,99.11,12.68,0.294,224.3,1.37,0.41,False,Balance,False,False
1,0.0594,1,99.1,63.94,0.297,235.2,0.362,0.63,True,Push,True,True
1,0.06,1,99.09,69.31,0.301,236.5,1.187,3.8,False,Push,False,False
1,0.0606,1,99.08,61.52,0.304,235.1,0.755,9.22,True,Push,True,False
1,0.0611,1,99.06,100.31,0.309,243.4,0.066,0.8,True,Push,True,False
1,0.0617,1,99.05,103.34,0.314,244.2,1.064,8.91,False,Push,False,False
1,0.0622,1,99.03,77.59,0.318,239.0,0.05,-8.36,True,Push,False,False
1,0.0628,1,99.04,-15.48,0.318,219.8,0.535,19.12,True,Harvest,True,True
1,0.0633,1,99.03,32.08,0.319,229.9,1.779,0.64,False,Balance,False,False
1,0.0639,1,99.04,-25.38,0.319,218.2,0.05,8.19,True,Harvest,True,True
1,0.0644,1,99.03,20.32,0.321,227.9,2.496,-3.87,False,Balance,False,False
1,0.065,1,99.02,67.07,0.324,237.8,0.192,5.81,True,Push,True,False
1,0.0656,1,99.02,18.26,0.325,227.8,1.382,7.05,False,Balance,False,False
1,0.0661,1,99.02,17.01,0.326,227.8,0.29,12.86,True,Balance,True,True
1,0.0667,1,99.0,64.97,0.329,237.9,0.169,-7.19,True,Push,False,False
1,0.0672,1,98.99,93.98,0.334,244.2,0.654,-1.39,True,Push,False,False
1,0.0678,1,98.99,-18.02,0.334,221.0,0.542,4.96,True,Harvest,True,False
1,0.0683,1,98.98,64.51,0.337,238.4,0.411,-0.27,True,Push,False,False
1,0.0689,1,98.98,19.86,0.338,229.3,0.712,9.97,True,Balance,True,True
1,0.0694,1,98.96,117.01,0.344,249.7,0.123,-7.56,True,Push,False,False
1,0.07,1,98.95,39.29,0.346,233.7,0.707,1.37,True,Balance,True,True
1,0.0706,1,98.94,62.37,0.349,238.7,1.556,10.06,False,Push,False,False
1,0.0711,1,98.93,62.04,0.352,238.8,0.212,4.68,True,Push,True,False
1,0.0717,1,98.94,-30.43,0.352,219.8,0.157,10.45,True,Harvest,True,True
1,0.0722,1,98.92,103.49,0.357,247.9,0.227,16.58,True,Push,True,True
1,0.0728,1,98.91,34.63,0.359,233.7,1.225,6.57,False,Balance,False,False
1,0.0733,1,98.89,116.34,0.365,250.9,3.709,3.67,False,Push,False,False
1,0.0739,1,98.87,112.42,0.37,250.3,0.877,-0.47,True,Push,False,False
1,0.0744,1,98.86,74.33,0.374,242.5,0.263,-3.05,True,Push,False,False
1,0.075,1,98.84,119.26,0.38,252.1,0.291,-3.41,True,Push,False,False
1,0.0756,1,98.83,48.0,0.382,237.4,0.324,23.48,True,Balance,True,True
1,0.0761,1,98.82,108.23,0.388,250.2,0.431,-0.31,True,Overtake,False,False
1,0.0767,1,98.8,71.19,0.391,242.6,0.259,16.36,True,Push,True,False
1,0.0772,1,98.79,73.43,0.395,243.3,0.539,0.43,True,Push,True,False
1,0.0778,1,98.78,67.77,0.398,242.3,1.869,7.29,False,Push,False,False
1,0.0783,1,98.78,13.48,0.399,231.2,0.18,7.68,True,Balance,True,False
1,0.0789,1,98.76,101.0,0.404,249.6,1.143,-22.85,False,Push,False,False
1,0.0794,1,98.76,23.91,0.405,233.7,0.186,-1.96,True,Balance,False,False
1,0.08,1,98.76,-16.08,0.405,225.6,0.739,9.02,True,Harvest,True,False
1,0.0806,1,98.76,16.34,0.406,232.5,0.05,11.86,True,Balance,True,False
1,0.0811,1,98.75,69.65,0.409,243.8,1.071,3.19,False,Push,False,False
1,0.0817,1,98.73,97.91,0.414,249.9,0.603,5.03,True,Push,True,True
1,0.0822,1,98.72,40.44,0.416,238.1,0.251,9.86,True,Balance,True,True
1,0.0828,1,98.73,-19.36,0.416,225.8,0.05,6.49,True,Harvest,True,False
1,0.0833,1,98.71,112.29,0.422,253.4,2.082,-1.68,False,Push,False,False
1,0.0839,1,98.71,10.88,0.423,232.4,0.883,8.02,True,Balance,True,False
1,0.0844,1,98.69,85.57,0.427,248.2,0.107,10.19,True,Push,True,True
1,0.085,1,98.68,76.4,0.431,246.5,0.098,12.9,True,Push,True,True
1,0.0856,1,98.68,-27.41,0.431,225.0,2.48,2.69,False,Harvest,False,False
1,0.0861,1,98.67,99.1,0.436,251.5,1.199,3.35,False,Push,False,False
1,0.0867,1,98.65,112.12,0.441,254.4,0.884,8.68,True,Push,True,False
1,0.0872,1,98.63,97.0,0.446,251.5,0.394,9.86,True,Push,True,True
1,0.0878,1,98.62,72.03,0.45,246.4,0.05,-7.73,True,Push,False,False
1,0.0883,1,98.62,28.21,0.451,237.5,0.299,9.52,True,Balance,True,True
1,0.0889,1,98.61,37.8,0.453,239.7,0.05,-2.74,True,Balance,False,False
1,0.0894,1,98.59,89.93,0.457,250.7,0.727,4.62,True,Push,True,False
1,0.09,1,98.58,65.27,0.461,245.7,0.05,3.57,True,Push,True,True
1,0.0906,1,98.58,42.02,0.463,241.1,0.066,-0.86,True,Balance,False,False
1,0.0911,1,98.57,11.26,0.463,234.8,0.468,10.59,True,Balance,True,False
1,0.0917,1,98.58,-29.82,0.463,226.5,0.476,8.15,True,Harvest,True,False
1,0.0922,1,98.56,103.9,0.469,254.5,0.05,-0.21,True,Push,False,False
1,0.0928,1,98.57,-33.42,0.469,226.1,0.936,1.13,True,Harvest,True,False
1,0.0933,1,98.56,73.71,0.472,248.6,2.208,-3.38,False,Push,False,False
1,0.0939,1,98.55,11.23,0.473,235.7,1.216,9.51,False,Balance,False,False
1,0.0944,1,98.55,27.02,0.474,239.2,2.636,-4.69,False,Balance,False,False
1,0.095,1,98.54,44.94,0.476,243.1,0.194,21.01,True,Balance,True,False
1,0.0956,1,98.55,-33.68,0.476,226.9,0.085,8.95,True,Harvest,True,True
1,0.0961,1,98.53,111.26,0.482,257.3,0.17,7.09,True,Push,True,False
1,0.0967,1,98.51,95.58,0.487,254.2,0.298,-5.36,True,Push,False,False
1,0.0972,1,98.5,48.79,0.489,244.6,0.05,14.29,True,Balance,True,True
1,0.0978,1,98.5,43.16,0.491,243.6,0.576,-1.71,True,Balance,False,False
1,0.0983,1,98.48,99.83,0.496,255.6,1.115,9.17,False,Push,False,False
1,0.0989,1,98.48,-22.44,0.496,230.3,0.189,5.39,True,Harvest,True,False
1,0.0994,1,98.47,116.03,0.502,259.3,0.425,-0.5,True,Push,False,False
1,0.1,1,98.45,117.91,0.508,259.8,1.82,12.33,False,Push,False,False
1,0.1006,1,98.43,100.01,0.513,256.3,0.05,7.77,False,Push,True,True
1,0.1011,1,98.42,36.94,0.515,243.3,0.67,13.58,False,Balance,True,True
1,0.1017,1,98.41,47.78,0.517,245.7,0.577,3.69,False,Balance,True,False
1,0.1022,1,98.42,-22.88,0.517,231.2,0.677,10.11,False,Harvest,True,True
1,0.1028,1,98.41,36.31,0.519,243.7,2.268,-3.43,False,Balance,False,False
1,0.1033,1,98.4,94.02,0.524,255.9,1.265,-8.48,False,Push,False,False
1,0.1039,1,98.39,40.49,0.526,244.9,1.022,-2.47,False,Balance,False,False
1,0.1044,1,98.38,79.48,0.53,253.2,0.303,-2.08,False,Push,False,False
1,0.105,1,98.36,73.64,0.534,252.1,0.555,17.42,False,Push,True,False
1,0.1056,1,98.36,25.19,0.535,242.2,0.391,-6.12,False,Balance,False,False
1,0.1061,1,98.35,34.32,0.536,244.3,0.76,-8.16,False,Balance,False,False
1,0.1067,1,98.34,109.42,0.542,260.1,1.37,5.83,False,Overtake,False,False
1,0.1072,1,98.33,66.09,0.545,251.2,0.178,4.5,False,Push,True,False
1,0.1078,1,98.31,92.35,0.55,256.8,0.565,-2.92,False,Push,False,False
1,0.1083,1,98.29,100.87,0.555,258.8,0.447,12.53,False,Push,True,False
1,0.1089,1,98.27,117.78,0.561,262.5,0.984,0.37,False,Push,True,False
1,0.1094,1,98.27,34.06,0.563,245.2,0.155,5.51,False,Balance,True,True
1,0.11,1,98.26,43.59,0.565,247.3,0.162,-0.75,False,Balance,False,False
1,0.1106,1,98.27,-27.29,0.565,232.7,0.361,12.16,False,Harvest,True,False
1,0.1111,1,98.25,73.0,0.568,253.8,0.05,14.8,False,Push,True,True
1,0.1117,1,98.24,89.81,0.573,257.4,0.088,17.99,False,Push,True,False
1,0.1122,1,98.22,101.55,0.578,260.0,0.082,7.42,False,Push,True,False
1,0.1128,1,98.2,113.65,0.584,262.7,0.234,0.73,False,Push,True,False
1,0.1133,1,98.19,91.14,0.588,258.2,0.967,6.87,False,Push,True,False
1,0.1139,1,98.18,22.97,0.589,244.1,3.084,-4.67,False,Balance,False,False
1,0.1144,1,98.18,39.23,0.591,247.7,0.496,-2.93,False,Balance,False,False
1,0.115,1,98.17,28.01,0.593,245.5,0.656,10.04,False,Balance,True,False
1,0.1156,1,98.18,-32.96,0.593,233.0,1.57,14.7,False,Harvest,False,False
1,0.1161,1,98.18,13.56,0.593,242.8,1.049,6.13,False,Balance,False,False
1,0.1167,1,98.17,11.45,0.594,242.5,0.268,-9.69,False,Balance,False,False
1,0.1172,1,98.16,90.94,0.598,259.2,0.412,9.06,False,Push,True,False
1,0.1178,1,98.16,-33.74,0.598,233.4,0.287,9.55,False,Harvest,True,True
1,0.1183,1,98.15,101.7,0.604,261.8,2.228,1.8,False,Push,False,False
1,0.1189,1,98.14,15.3,0.604,244.0,0.401,16.12,False,Balance,True,True
1,0.1194,1,98.14,15.85,0.605,244.2,0.05,9.46,False,Balance,True,True
1,0.12,1,98.12,99.35,0.61,261.8,0.423,-2.51,False,Overtake,False,False
1,0.1206,1,98.12,34.78,0.612,248.5,0.05,3.85,False,Balance,True,False
1,0.1211,1,98.12,12.33,0.612,243.9,0.713,0.09,False,Balance,True,False
1,0.1217,1,98.11,30.38,0.614,247.9,0.573,2.58,False,Balance,True,False
1,0.1222,1,98.1,85.57,0.618,259.5,1.306,-5.94,False,Push,False,False
1,0.1228,1,98.08,104.02,0.623,263.5,0.05,3.2,False,Push,True,False
1,0.1233,1,98.07,75.59,0.627,257.7,0.088,-6.83,False,Push,False,False
1,0.1239,1,98.05,108.09,0.633,264.6,0.401,6.47,False,Push,True,True
1,0.1244,1,98.04,43.77,0.635,251.4,0.098,14.35,False,Balance,True,True
1,0.125,1,98.02,107.1,0.64,264.7,1.865,-1.9,False,Push,False,False
1,0.1256,1,98.02,37.53,0.642,250.4,1.103,22.26,False,Balance,False,False
1,0.1261,1,98.01,35.47,0.644,250.1,0.438,0.15,False,Balance,True,False
1,0.1267,1,98.0,100.81,0.649,263.9,0.053,2.08,False,Push,True,False
1,0.1272,1,97.98,104.25,0.654,264.7,0.211,6.48,False,Push,True,True
1,0.1278,1,97.98,17.41,0.655,246.8,0.648,-1.25,False,Balance,False,False
1,0.1283,1,97.96,77.73,0.659,259.5,0.588,12.04,False,Push,True,True
1,0.1289,1,97.94,106.48,0.664,265.6,0.453,-0.15,False,Push,False,False
1,0.1294,1,97.93,114.35,0.67,267.4,0.641,12.42,False,Overtake,True,True
1,0.13,1,97.91,82.33,0.674,260.9,0.347,9.64,False,Push,True,True
1,0.1306,1,97.9,98.75,0.679,264.5,1.016,6.18,False,Push,False,False
1,0.1311,1,97.9,-14.6,0.679,241.0,0.37,8.93,False,Harvest,True,False
1,0.1317,1,97.89,31.8,0.68,250.8,0.05,10.88,False,Balance,True,True
1,0.1322,1,97.88,72.81,0.684,259.5,1.102,7.47,False,Push,False,False
1,0.1328,1,97.88,21.9,0.685,249.0,1.24,18.62,False,Balance,False,False
1,0.1333,1,97.87,16.4,0.686,248.0,0.17,3.33,False,Balance,True,False
1,0.1339,1,97.88,-33.88,0.686,237.7,0.125,-1.8,False,Harvest,False,False
1,0.1344,1,97.87,60.31,0.689,257.4,0.05,-1.28,False,Push,False,False
1,0.135,1,97.85,99.17,0.694,265.7,1.256,10.19,False,Overtake,False,False
1,0.1356,1,97.83,116.59,0.7,269.4,0.539,-6.35,False,Overtake,False,False
1,0.1361,1,97.83,34.78,0.702,252.5,0.059,-9.09,False,Balance,False,False
1,0.1367,1,97.82,35.69,0.703,252.9,0.495,21.49,False,Balance,True,False
1,0.1372,1,97.83,-31.91,0.703,238.9,0.05,14.67,False,Harvest,True,True
1,0.1378,1,97.82,41.54,0.705,254.3,0.096,-0.73,False,Balance,False,False
1,0.1383,1,97.8,104.14,0.711,267.5,1.623,-9.93,False,Push,False,False
1,0.1389,1,97.8,35.45,0.712,253.3,0.316,2.02,False,Balance,True,False
1,0.1394,1,97.79,17.38,0.713,249.7,0.05,13.71,False,Balance,True,True
1,0.14,1,97.8,-31.81,0.713,239.6,0.18,13.26,False,Harvest,True,False
1,0.1406,1,97.78,88.98,0.718,264.9,0.05,3.44,False,Push,True,False
1,0.1411,1,97.78,27.47,0.719,252.2,0.104,-2.99,False,Balance,False,False
1,0.1417,1,97.77,48.26,0.722,256.7,0.199,7.41,False,Balance,True,True
1,0.1422,1,97.76,76.32,0.725,262.7,0.358,0.79,False,Push,True,False
1,0.1428,1,97.74,91.95,0.73,266.0,0.256,4.89,False,Push,True,False
1,0.1433,1,97.75,-39.35,0.73,238.8,1.657,4.12,False,Harvest,False,False
1,0.1439,1,97.74,75.39,0.734,262.9,0.132,0.17,False,Push,True,False
1,0.1444,1,97.73,48.88,0.736,257.5,0.073,1.59,False,Balance,True,False
1,0.145,1,97.71,91.4,0.741,266.5,1.18,0.67,False,Push,False,False
1,0.1456,1,97.71,38.31,0.743,255.5,0.368,-5.13,False,Balance,False,False
1,0.1461,1,97.71,-14.5,0.743,244.6,0.632,4.54,False,Harvest,True,False
1,0.1467,1,97.71,30.5,0.744,254.1,0.05,-0.03,False,Balance,False,False
1,0.1472,1,97.69,105.41,0.749,269.9,0.138,9.82,False,Push,True,False
1,0.1478,1,97.69,-13.88,0.749,245.2,0.887,12.06,False,Harvest,True,True
1,0.1483,1,97.67,109.33,0.755,270.9,0.897,4.38,False,Push,True,False
1,0.1489,1,97.65,113.79,0.761,272.0,0.517,14.51,False,Overtake,True,True
1,0.1494,1,97.66,-24.01,0.761,243.4,0.229,9.29,False,Harvest,True,False
1,0.15,1,97.66,-31.69,0.761,241.9,0.122,7.38,False,Harvest,True,True
1,0.1506,1,97.64,112.94,0.766,272.2,0.422,11.09,False,Push,True,False
1,0.1511,1,97.63,98.08,0.771,269.2,1.282,-4.51,False,Push,False,False
1,0.1517,1,97.61,103.16,0.776,270.4,0.05,2.96,False,Push,True,False
1,0.1522,1,97.6,44.33,0.779,258.3,0.743,2.57,False,Balance,True,False
1,0.1528,1,97.61,-26.22,0.779,243.7,0.245,-10.64,False,Harvest,False,False
1,0.1533,1,97.6,66.04,0.782,263.0,0.092,-0.3,False,Push,False,False
1,0.1539,1,97.59,34.84,0.784,256.6,0.382,-11.24,False,Balance,False,False
1,0.1544,1,97.57,99.75,0.789,270.3,0.696,1.78,False,Overtake,True,False
1,0.155,1,97.58,-31.62,0.789,243.0,0.219,9.19,False,Harvest,True,True
1,0.1556,1,97.56,116.3,0.794,274.0,0.872,10.08,False,Push,True,True
1,0.1561,1,97.56,-19.88,0.794,245.7,0.37,13.88,False,Harvest,True,False
1,0.1567,1,97.55,49.07,0.797,260.2,0.05,7.66,False,Balance,True,True
1,0.1572,1,97.56,-31.23,0.797,243.6,0.05,6.52,False,Harvest,True,False
1,0.1578,1,97.55,43.18,0.799,259.2,0.072,7.94,False,Balance,True,True
1,0.1583,1,97.54,78.08,0.803,266.6,0.212,19.71,False,Push,True,True
1,0.1589,1,97.53,46.12,0.805,260.0,0.54,4.16,False,Balance,True,False
1,0.1594,1,97.53,33.31,0.807,257.5,0.442,3.65,False,Balance,True,False
1,0.16,1,97.52,66.9,0.81,264.6,1.442,12.8,False,Push,False,False
1,0.1606,1,97.52,-22.85,0.81,246.0,0.342,9.01,False,Harvest,True,False
1,0.1611,1,97.51,27.74,0.812,256.7,0.537,-3.12,False,Balance,False,False
1,0.1617,1,97.51,25.38,0.813,256.3,1.804,11.26,False,Balance,False,False
1,0.1622,1,97.51,30.25,0.814,257.4,0.176,1.48,False,Balance,True,False
1,0.1628,1,97.49,118.29,0.82,275.9,0.395,-12.66,False,Push,False,False
1,0.1633,1,97.47,72.42,0.824,266.4,0.05,13.68,False,Push,True,False
1,0.1639,1,97.47,47.27,0.826,261.3,0.576,0.38,False,Balance,True,False
1,0.1644,1,97.45,112.45,0.832,275.0,0.727,-0.67,False,Push,False,False
1,0.165,1,97.43,102.84,0.837,273.1,0.222,-7.11,False,Push,False,False
1,0.1656,1,97.43,-11.35,0.837,249.4,0.05,17.9,False,Harvest,True,True
1,0.1661,1,97.42,67.26,0.84,265.9,0.835,12.17,False,Push,True,True
1,0.1667,1,97.4,100.11,0.845,272.8,0.27,4.21,False,Push,True,False
1,0.1672,1,97.4,34.5,0.847,259.3,0.077,5.15,False,Balance,True,False
1,0.1678,1,97.39,60.7,0.85,264.8,0.21,26.42,False,Push,True,True
1,0.1683,1,97.37,103.75,0.855,273.9,1.121,1.11,False,Push,False,False
1,0.1689,1,97.36,36.92,0.857,260.1,0.933,16.14,False,Balance,True,False
1,0.1694,1,97.37,-12.5,0.857,249.9,0.278,3.0,False,Harvest,True,False
1,0.17,1,97.36,37.54,0.859,260.4,0.338,-2.72,False,Balance,False,False
1,0.1706,1,97.35,80.44,0.863,269.4,0.316,1.56,False,Push,True,False
1,0.1711,1,97.33,81.88,0.867,269.8,2.656,5.67,False,Push,False,False
1,0.1717,1,97.32,90.33,0.872,271.7,0.291,1.3,False,Push,True,False
1,0.1722,1,97.31,69.6,0.875,267.5,0.847,-9.43,False,Push,False,False
1,0.1728,1,97.31,-36.52,0.875,245.5,0.554,2.16,False,Harvest,True,False
1,0.1733,1,97.31,-10.48,0.875,251.0,0.292,9.23,False,Harvest,True,True
1,0.1739,1,97.31,40.48,0.877,261.7,0.216,-11.31,False,Balance,False,False
1,0.1744,1,97.29,80.55,0.881,270.1,2.036,-5.94,False,Push,False,False
1,0.175,1,97.29,27.76,0.883,259.2,0.308,10.98,False,Balance,True,False
1,0.1756,1,97.29,-21.3,0.883,249.1,0.302,4.76,False,Harvest,True,False
1,0.1761,1,97.28,48.56,0.885,263.8,0.457,0.46,False,Balance,True,False
1,0.1767,1,97.29,-36.08,0.885,246.2,0.194,4.0,False,Harvest,True,False
1,0.1772,1,97.27,101.26,0.89,274.9,0.202,-4.38,False,Overtake,False,False
