lap,driver_code,driver_name,driver_car,driver_team,rival_code,rival_name,rival_car,rival_team,new_position,old_position,positions_gained,lap_time,passing_zone,maneuver_type,apex_speed_kph,peak_closing_speed_kph,min_gap_sec,peak_speed_kph,overtake_energy_mj,reward_score,risk_score,risk_ratio,risk_ratio_str,risk_level,outcome,drs_active,telemetry_source
7,TSU,Tsunoda,Car #22 Tsunoda,AlphaTauri,LAT,Latifi,Car #6 Latifi,Williams,15,17,2,1:27.550,Turn 11 Curva Parabolica (Alboreto Slipstream),High Downforce Outside Slingshot,215.0,29.5,0.19,342.1,1.39,45.3,77.9,1.72,1.72:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
8,SAI,Sainz,Car #55 Sainz,Ferrari,ZHO,Zhou,Car #24 Zhou,Alfa Romeo,9,10,1,1:26.592,Turn 1 - 2 Variante del Rettifilo (Main Straight DRS),DRS Slipstream + Late Braking Dive,74.5,32.8,0.14,328.5,1.11,36.4,80.7,2.22,2.22:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
8,TSU,Tsunoda,Car #22 Tsunoda,AlphaTauri,MAG,Magnussen,Car #20 Magnussen,Haas F1 Team,14,15,1,1:27.331,Turn 4 - 5 Variante della Roggia (DRS Zone 2),Inside Line Apex Cut,118.0,31.1,0.15,344.8,1.2,40.9,83.1,2.03,2.03:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
8,HAM,Hamilton,Car #44 Hamilton,Mercedes,LAT,Latifi,Car #6 Latifi,Williams,16,17,1,1:27.783,Turn 8 - 10 Variante Ascari (Curva del Serraglio),Switchback Traction Drive,168.0,30.4,0.07,333.4,1.15,47.2,84.2,1.78,1.78:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
9,SAI,Sainz,Car #55 Sainz,Ferrari,DEV,de Vries,Car #21 de Vries,Williams,8,9,1,1:26.940,Turn 11 Curva Parabolica (Alboreto Slipstream),High Downforce Outside Slingshot,215.0,33.8,0.22,342.9,1.16,46.7,78.8,1.69,1.69:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
9,HAM,Hamilton,Car #44 Hamilton,Mercedes,MAG,Magnussen,Car #20 Magnussen,Haas F1 Team,15,16,1,1:26.724,Turn 1 - 2 Variante del Rettifilo (Main Straight DRS),DRS Slipstream + Late Braking Dive,74.5,35.2,0.22,333.9,1.12,38.7,76.5,1.98,1.98:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
10,SAI,Sainz,Car #55 Sainz,Ferrari,ALO,Alonso,Car #14 Alonso,Alpine F1 Team,7,8,1,1:26.791,Turn 4 - 5 Variante della Roggia (DRS Zone 2),Inside Line Apex Cut,118.0,35.3,0.21,328.1,1.36,41.0,72.4,1.77,1.77:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
10,OCO,Ocon,Car #31 Ocon,Alpine F1 Team,VET,Vettel,Car #5 Vettel,Aston Martin,12,13,1,1:28.206,Turn 8 - 10 Variante Ascari (Curva del Serraglio),Switchback Traction Drive,168.0,29.5,0.12,345.4,1.24,42.2,82.1,1.95,1.95:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
11,SAI,Sainz,Car #55 Sainz,Ferrari,NOR,Norris,Car #4 Norris,McLaren,6,7,1,1:26.909,Turn 11 Curva Parabolica (Alboreto Slipstream),High Downforce Outside Slingshot,215.0,31.5,0.23,345.8,1.2,42.0,74.0,1.76,1.76:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
11,HAM,Hamilton,Car #44 Hamilton,Mercedes,TSU,Tsunoda,Car #22 Tsunoda,AlphaTauri,13,15,2,1:27.226,Turn 1 - 2 Variante del Rettifilo (Main Straight DRS),DRS Slipstream + Late Braking Dive,74.5,30.9,0.07,339.3,1.35,36.6,73.6,2.01,2.01:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
12,SAI,Sainz,Car #55 Sainz,Ferrari,GAS,Gasly,Car #10 Gasly,AlphaTauri,5,6,1,1:49.850,Turn 4 - 5 Variante della Roggia (DRS Zone 2),Inside Line Apex Cut,118.0,36.0,0.1,330.7,1.34,47.8,72.8,1.52,1.52:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
13,SAI,Sainz,Car #55 Sainz,Ferrari,RIC,Ricciardo,Car #3 Ricciardo,McLaren,4,5,1,1:27.747,Turn 8 - 10 Variante Ascari (Curva del Serraglio),Switchback Traction Drive,168.0,34.1,0.2,332.4,1.49,40.4,80.6,2.0,2.00:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
13,ALO,Alonso,Car #14 Alonso,Alpine F1 Team,NOR,Norris,Car #4 Norris,McLaren,7,8,1,1:27.450,Turn 11 Curva Parabolica (Alboreto Slipstream),High Downforce Outside Slingshot,215.0,33.8,0.16,329.7,1.55,39.8,71.7,1.8,1.80:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
13,LAT,Latifi,Car #6 Latifi,Williams,MAG,Magnussen,Car #20 Magnussen,Haas F1 Team,15,16,1,1:27.316,Turn 1 - 2 Variante del Rettifilo (Main Straight DRS),DRS Slipstream + Late Braking Dive,74.5,28.8,0.17,340.5,1.06,42.1,72.5,1.72,1.72:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
16,HAM,Hamilton,Car #44 Hamilton,Mercedes,OCO,Ocon,Car #31 Ocon,Alpine F1 Team,12,13,1,1:27.227,Turn 4 - 5 Variante della Roggia (DRS Zone 2),Inside Line Apex Cut,118.0,33.9,0.09,340.8,1.28,47.2,70.8,1.5,1.50:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
16,MSC,Schumacher,Car #47 Schumacher,Haas F1 Team,MAG,Magnussen,Car #20 Magnussen,Haas F1 Team,15,16,1,1:27.322,Turn 8 - 10 Variante Ascari (Curva del Serraglio),Switchback Traction Drive,168.0,31.3,0.08,345.1,1.58,39.1,81.2,2.08,2.08:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
17,HAM,Hamilton,Car #44 Hamilton,Mercedes,STR,Stroll,Car #18 Stroll,Aston Martin,11,12,1,1:26.762,Turn 11 Curva Parabolica (Alboreto Slipstream),High Downforce Outside Slingshot,215.0,35.3,0.16,337.8,1.2,37.1,85.9,2.32,2.32:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
18,NOR,Norris,Car #4 Norris,McLaren,ALO,Alonso,Car #14 Alonso,Alpine F1 Team,6,8,2,1:27.353,Turn 1 - 2 Variante del Rettifilo (Main Straight DRS),DRS Slipstream + Late Braking Dive,74.5,36.0,0.17,334.3,1.26,44.7,85.9,1.92,1.92:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
18,BOT,Bottas,Car #77 Bottas,Alfa Romeo,MAG,Magnussen,Car #20 Magnussen,Haas F1 Team,16,17,1,1:27.434,Turn 4 - 5 Variante della Roggia (DRS Zone 2),Inside Line Apex Cut,118.0,35.9,0.2,339.9,1.1,37.9,86.0,2.27,2.27:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
20,PER,Perez,Car #11 Perez,Red Bull,MAG,Magnussen,Car #20 Magnussen,Haas F1 Team,10,15,5,1:26.346,Turn 8 - 10 Variante Ascari (Curva del Serraglio),Switchback Traction Drive,168.0,33.5,0.06,329.9,1.45,36.1,71.2,1.97,1.97:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
21,TSU,Tsunoda,Car #22 Tsunoda,AlphaTauri,STR,Stroll,Car #18 Stroll,Aston Martin,17,18,1,1:27.243,Turn 11 Curva Parabolica (Alboreto Slipstream),High Downforce Outside Slingshot,215.0,33.1,0.18,340.1,1.18,44.5,72.7,1.63,1.63:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
22,PER,Perez,Car #11 Perez,Red Bull,BOT,Bottas,Car #77 Bottas,Alfa Romeo,9,10,1,1:26.750,Turn 1 - 2 Variante del Rettifilo (Main Straight DRS),DRS Slipstream + Late Braking Dive,74.5,31.2,0.19,340.0,1.56,43.9,79.4,1.81,1.81:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
24,PER,Perez,Car #11 Perez,Red Bull,MSC,Schumacher,Car #47 Schumacher,Haas F1 Team,8,9,1,1:26.742,Turn 4 - 5 Variante della Roggia (DRS Zone 2),Inside Line Apex Cut,118.0,29.3,0.13,332.9,1.2,47.7,75.9,1.59,1.59:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
24,LAT,Latifi,Car #6 Latifi,Williams,STR,Stroll,Car #18 Stroll,Aston Martin,18,19,1,1:27.394,Turn 8 - 10 Variante Ascari (Curva del Serraglio),Switchback Traction Drive,168.0,35.9,0.17,342.7,1.35,42.9,77.9,1.82,1.82:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
27,HAM,Hamilton,Car #44 Hamilton,Mercedes,ALO,Alonso,Car #14 Alonso,Alpine F1 Team,6,7,1,1:27.060,Turn 11 Curva Parabolica (Alboreto Slipstream),High Downforce Outside Slingshot,215.0,30.1,0.19,333.2,1.06,43.7,71.5,1.64,1.64:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
31,PER,Perez,Car #11 Perez,Red Bull,ALO,Alonso,Car #14 Alonso,Alpine F1 Team,6,8,2,1:26.351,Turn 1 - 2 Variante del Rettifilo (Main Straight DRS),DRS Slipstream + Late Braking Dive,74.5,36.3,0.23,344.9,1.27,36.2,86.6,2.39,2.39:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
33,SAI,Sainz,Car #55 Sainz,Ferrari,PER,Perez,Car #11 Perez,Red Bull,5,7,2,1:25.577,Turn 4 - 5 Variante della Roggia (DRS Zone 2),Inside Line Apex Cut,118.0,32.1,0.23,345.8,1.56,39.5,75.7,1.92,1.92:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
35,HAM,Hamilton,Car #44 Hamilton,Mercedes,DEV,de Vries,Car #21 de Vries,Williams,9,12,3,1:25.491,Turn 8 - 10 Variante Ascari (Curva del Serraglio),Switchback Traction Drive,168.0,35.6,0.12,331.1,1.38,47.2,81.9,1.74,1.74:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
35,HAM,Hamilton,Car #44 Hamilton,Mercedes,ZHO,Zhou,Car #24 Zhou,Alfa Romeo,9,12,3,1:25.491,Turn 11 Curva Parabolica (Alboreto Slipstream),High Downforce Outside Slingshot,215.0,33.2,0.08,339.4,1.64,37.7,78.4,2.08,2.08:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
35,MSC,Schumacher,Car #47 Schumacher,Haas F1 Team,STR,Stroll,Car #18 Stroll,Aston Martin,16,17,1,1:25.882,Turn 1 - 2 Variante del Rettifilo (Main Straight DRS),DRS Slipstream + Late Braking Dive,74.5,35.8,0.19,340.9,1.47,40.3,73.9,1.83,1.83:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
36,HAM,Hamilton,Car #44 Hamilton,Mercedes,GAS,Gasly,Car #10 Gasly,AlphaTauri,7,9,2,1:26.376,Turn 4 - 5 Variante della Roggia (DRS Zone 2),Inside Line Apex Cut,118.0,35.2,0.21,344.0,1.6,42.1,78.0,1.85,1.85:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
37,HAM,Hamilton,Car #44 Hamilton,Mercedes,RIC,Ricciardo,Car #3 Ricciardo,McLaren,6,7,1,1:25.282,Turn 8 - 10 Variante Ascari (Curva del Serraglio),Switchback Traction Drive,168.0,35.1,0.18,341.0,1.53,46.7,74.8,1.6,1.60:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
37,NOR,Norris,Car #4 Norris,McLaren,RIC,Ricciardo,Car #3 Ricciardo,McLaren,7,9,2,1:25.309,Turn 11 Curva Parabolica (Alboreto Slipstream),High Downforce Outside Slingshot,215.0,31.6,0.08,338.7,1.07,41.6,78.9,1.9,1.90:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
37,NOR,Norris,Car #4 Norris,McLaren,GAS,Gasly,Car #10 Gasly,AlphaTauri,7,9,2,1:25.309,Turn 1 - 2 Variante del Rettifilo (Main Straight DRS),DRS Slipstream + Late Braking Dive,74.5,30.9,0.17,328.6,1.07,45.9,75.2,1.64,1.64:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
37,BOT,Bottas,Car #77 Bottas,Alfa Romeo,STR,Stroll,Car #18 Stroll,Aston Martin,16,17,1,1:26.481,Turn 4 - 5 Variante della Roggia (DRS Zone 2),Inside Line Apex Cut,118.0,29.6,0.15,342.2,1.18,43.5,69.7,1.6,1.60:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
41,MSC,Schumacher,Car #47 Schumacher,Haas F1 Team,LAT,Latifi,Car #6 Latifi,Williams,14,15,1,1:26.805,Turn 8 - 10 Variante Ascari (Curva del Serraglio),Switchback Traction Drive,168.0,28.9,0.16,338.0,1.43,44.7,87.5,1.96,1.96:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
42,BOT,Bottas,Car #77 Bottas,Alfa Romeo,LAT,Latifi,Car #6 Latifi,Williams,15,16,1,1:26.197,Turn 11 Curva Parabolica (Alboreto Slipstream),High Downforce Outside Slingshot,215.0,32.8,0.12,342.7,1.21,41.3,69.6,1.69,1.69:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
45,MSC,Schumacher,Car #47 Schumacher,Haas F1 Team,TSU,Tsunoda,Car #22 Tsunoda,AlphaTauri,13,14,1,1:26.264,Turn 1 - 2 Variante del Rettifilo (Main Straight DRS),DRS Slipstream + Late Braking Dive,74.5,28.7,0.23,343.5,1.47,40.9,71.5,1.75,1.75:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
